Honolulu	21.30978223110529, -157.8107610587092	21.305280863987555, -157.85713000763764
Portland	45.50902399630675, -122.69882618616256	45.5149650996022, -122.67897656425306
San Francisco	37.7634895308116, -122.45251238881352	37.77925415329247, -122.41924488274192
Seattle	47.681993234746116, -122.35506965083782	47.603880429493195, -122.32985190512044
Los Angeles	34.01253147523059, -118.25664982139726	34.053678005201014, -118.24265330107232
Phoenix	33.5385719414726, -112.08351630411387	33.44870605805725, -112.07734185835638
Albuqurque	35.075997948863524, -106.56030330296292	35.08761891964585, -106.65163667668115
Denver	39.69852149989101, -104.93551883214191	39.739267108829786, -104.99144114108013
Colorado Springs	38.929220628686494, -104.86610586751641	38.83564970174321, -104.8211394715385
Dallas	32.76343424071299, -96.77207352919622	32.77637067931344, -96.79708902992117
Sioux Falls	43.50786306339971, -96.69229098980072	43.54748769053867, -96.72936272629335
Houston	29.735416140006528, -95.33146053573232	29.76013386975676, -95.36942832417145
Kansas City, Kansas	39.13450971263221, -94.63286626603112	39.113186636319966, -94.62642773754143
Minneapolis	44.98931701962727, -93.28714927051918	44.97721418630797, -93.26544983741094
St. Louis	38.648157016044706, -90.20593555893738	38.62682097635616, -90.19935165317744
Chicago	41.82353417245179, -87.62430800700633	41.88377483288112, -87.6320885306476
Detroit, MI	42.337962404219354, -83.0541286236977	42.32937965343482, -83.04450733292316
Jacksonville, FL	30.35974545196895, -81.67622303038497	30.330097051048547, -81.65951017491838
Washington, DC	38.945005253542924, -77.07851930900902	38.89512203427142, -77.03134952445521
Philadelphia	39.969480562562055, -75.16285196694363	39.952755960544714, -75.16350308488626
Jersey City	40.725439262648464, -74.05219036153116	40.71777976144492, -74.04279519376041
New York	40.738049448940956, -73.9909735237834	40.71274131142617, -74.00606803233345
Boston	42.288621395895525, -71.04771790845082	42.36031875287808, -71.0579930031807